WKT,id,nation,cntryname,source,target,clength
"MULTILINESTRING ((14.4731972 48.9710392, 15.4372475 49.0737028))",2,0,Czech republic,2,3,71217.897
"MULTILINESTRING ((13.3828042 49.7456203, 14.4731972 48.9710392))",1,0,Czech republic,1,2,116852.726
